STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/26/2020,72,"H,,S",87,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/27/2020,74,"H,,S",85,",,S",62,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/28/2020,74,"H,,S",82,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/29/2020,69,"H,,S",78,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/30/2020,70,"H,,S",84,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/1/2020,71,"H,,S",81,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/2/2020,69,"H,,S",78,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/3/2020,67,"H,,S",76,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/4/2020,69,"H,,S",79,",,S",55,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/5/2020,74,"H,,S",86,",,S",58,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/6/2020,70,"H,,S",83,",,S",64,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/7/2020,70,"H,,S",81,",,S",57,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/8/2020,74,"H,,S",89,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/9/2020,78,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/10/2020,73,"H,,S",90,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/11/2020,72,"H,,S",82,",,S",63,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/12/2020,73,"H,,S",83,",,S",58,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/13/2020,76,"H,,S",,,65,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/14/2020,72,"H,,S",83,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/15/2020,66,"H,,S",79,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/16/2020,65,"H,,S",71,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/17/2020,69,"H,,S",,,63,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/18/2020,75,"H,,S",86,",,S",60,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/19/2020,77,"H,,S",94,",,S",59,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/20/2020,80,"H,,S",94,",,S",64,",,S"
